Date,OAT,HWST,HWRT,HWDP,HWDPSPT,P1VFD,P2VFD
16-Feb-19 2:45:02 AM CST,nan,nan,nan,10.02,nan,nan,nan
16-Feb-19 2:45:02 AM CST,nan,nan,nan,nan,nan,71.63,nan
16-Feb-19 2:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 2:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 2:45:03 AM CST,13.4,nan,nan,nan,nan,nan,nan
16-Feb-19 3:00:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 3:00:02 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 3:00:02 AM CST,nan,nan,nan,9.97,nan,nan,nan
16-Feb-19 3:00:02 AM CST,nan,nan,nan,nan,nan,72.19,nan
16-Feb-19 3:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 3:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 3:00:03 AM CST,13,nan,nan,nan,nan,nan,nan
16-Feb-19 3:15:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 3:15:02 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 3:15:02 AM CST,nan,nan,nan,9.96,nan,nan,nan
16-Feb-19 3:15:02 AM CST,nan,nan,nan,nan,nan,72.32,nan
16-Feb-19 3:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 3:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 3:15:03 AM CST,12.3,nan,nan,nan,nan,nan,nan
16-Feb-19 3:30:03 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 3:30:03 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 3:30:03 AM CST,nan,nan,nan,9.97,nan,nan,nan
16-Feb-19 3:30:03 AM CST,nan,nan,nan,nan,nan,72.47,nan
16-Feb-19 3:30:03 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 3:30:03 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 3:30:03 AM CST,13,nan,nan,nan,nan,nan,nan
16-Feb-19 3:45:02 AM CST,nan,170,nan,nan,nan,nan,nan
